luxury-real-estate	Luxury Real Estate	Landing Page	hero	landing	false		https://stream.mux.com/YC9LlE4aJ4sFcRueqTbZMMYm025lTfte6LjrQd15bKu4.m3u8
media-card-carousel	Media Card Carousel	Slider	carousel	hero	false		https://stream.mux.com/xF1SF02IrdmyCmcTA9Y01R02EcsfPLaepMQO00ev00jrDyZY.m3u8
minimal-workflow-saas	Minimal Workflow SaaS	SaaS	hero	hero	false		https://stream.mux.com/AyujP5G4CG49mn4xBsp5LEGlq7dYszMI7QY2ESXJRK00.m3u8
modern-hr-dashboard	Modern HR Dashboard	Dashboard	hero	hero	false	https://res.cloudinary.com/dsdhxhhqh/image/upload/v1779784289/CleanShot_2026-05-26_at_15.26.21_2x_f2ytq9.png	
mouse-trail-cta	Mouse Trail CTA	CTA	cta	hero	false		https://stream.mux.com/yEe0001iZxB5DZ3ZcoAbfua015fpCxo7zmbYUhVvHfERSg.m3u8
mythic-naturecore	Mythic Naturecore	landing page	hero	hero	false		https://stream.mux.com/p2rqdIt93bi02G2oajLN9eOWifvK6xrBWDWy01yyypR5Q.m3u8
naturecore-saas	Naturecore SaaS	Hero	hero	hero	false		https://stream.mux.com/00wwU8iEUebzpgbQDy3hAz9QTjkehT66uHU6Sd0201eBIQ.m3u8
neo-museum	Neo Museum	Website	hero	hero	true		https://stream.mux.com/rvV01To34SdNmXrjyPh7Wauq5I14M1YU005fldhLChTuA.m3u8
nex-max-upgrade	Nex Max Upgrade	Pricing	pricing	hero	false		https://stream.mux.com/TFSJsYDn00kpqXnRUNPqDs3cLl9bUYhYfQL301WS7lxBI.m3u8
nexacore-control	NexaCore Control	Features	features	hero	true		https://stream.mux.com/kRNaIYw2zQRn37oDHHU01NgLmLSHhSfZMtrYhDPXxbrw.m3u8
nexacore-process	NexaCore Process	Process	features	hero	false		https://stream.mux.com/TZeoU5M02PPkOIpn01v4z8StDxwvq74wN6nYM5N6oUyVQ.m3u8
nexacore-results	NexaCore Results	Features	features	hero	true		https://stream.mux.com/13yL4B902g7E02rJVQY9fayYxtMLqafs01K7ZO5MAuVVrU.m3u8
nexora-features	Nexora Features	Features Section	features	hero	false		
nike-hover	Nike Hover	Features	features	hero	true		https://stream.mux.com/vrFml8DwxI01AyZRk91cZv9fsys005qUYUJ4vFaGbY01hk.m3u8
nimbus-demo	Nimbus Demo	Dashboard Demo	dashboard	hero	false		https://stream.mux.com/2i9QZfo6GXNl00wquWJnfs02j1te2Uv01rVObW2VPhGDL8.m3u8
nimbus-grid	Nimbus Grid	Landing Page	hero	landing	false		https://stream.mux.com/AJIMUcK01qsSDw02016FQhjgHFIdZrqf5VuQVUEfhjxsRE.m3u8
nimbus-ops	Nimbus Ops	CTA	cta	hero	false		https://stream.mux.com/9vf02ZHvyqnLN8cYPvbpSmQ3a01mMyfki01ou7YWDKiVGM.m3u8
nimbus-pricing	NimBus Pricing	Pricing	pricing	hero	false		https://stream.mux.com/ajzMMqaStPK9bXHA11X01i01ML3HS3HotFGew8h02dh01Us.m3u8
nimbus-security	Nimbus Security	Cards	features	hero	false		https://stream.mux.com/VehJrWjL9n6nTKgQrOYmJZsNkntTcTNariCV3M02gFAQ.m3u8
nimbus-sticky-cards	Nimbus Sticky Cards	Cards	features	hero	false		https://stream.mux.com/01Yk6U502MTbOeWhO3dswsuoFDSvljYTB9xPgVA1WEHdQ.m3u8
no-code-waitlist	No-Code Waitlist	Waitlist	hero	hero	true		https://stream.mux.com/iY611PYuZ02AKpIzYB4Q1BMpl7W2O3UwqjQm9p01xlmVg.m3u8
novadesk-signup	NovaDesk Signup	Signup	hero	hero	false		https://stream.mux.com/PZaExpKfBauuq6OZwi01oGRqA6ju8n00hAY00uGy02CtmXc.m3u8
orbis-cards	Orbis Cards	Cards	features	hero	false		https://stream.mux.com/nHcNYclgjEeByzvjmBYjyyAgs01u3oUvDZSfO01fUxTY4.m3u8
orbis-cta	Orbis CTA	CTA	cta	hero	false		https://stream.mux.com/yfmnVZL2NWFxrOsR5uGAjv6KTRjoo14rh9ynkUy8xAQ.m3u8
orbis-hello	Orbis Hello	About	about	hero	true		https://stream.mux.com/BOFvJTYd016dBe5WToTVUsldQ0186S6q8CWCsSMaNJEyk.m3u8
pixel-grid-hover	Pixel Grid Hover	Case Studies	blog	hero	true		https://stream.mux.com/fqUlhqOGQZMgbxSNWbsVvX8g01lPd3y8d8e4Ks7pRsvY.m3u8
portal	Portal	Hero	hero	hero	true		https://stream.mux.com/rTU2qsAy41KnWb2entpot3h3KNB6swT02Sfiphp88bmg.m3u8
portfolio-about	Portfolio About	About	about	hero	true		https://stream.mux.com/AJZJvB22VdpB19YiRTzWF8QMVQqYNq6G7UtWUZtfV00Q.m3u8
projects-catalog	Projects Catalog	Projects	features	hero	false		https://stream.mux.com/oJXsdIPdtGOIOGWG02kxQcrasVJ1vJtoGqNdb601kwn9o.m3u8
